mechanism,n,domain,protocol,epsilon_h,epsilon_c,lambda,deposit_multiplier,deadline_sec,premium,k_bits,honest_payoff,fraud_payoff,deterrence,ic
ReputationOnly,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.248281,95.183063,0.216288,0
Deposit+PoW,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.210281,95.248549,0.150802,0
NoVerify,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.172281,85.089048,10.310302,1
StrongDeposit,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.248281,95.183063,0.216288,0
Deposit+PoW,100000,32,olh,1.0,4.0,0.25,0.5,0.2,10.147070,15,85.210281,92.458105,2.941246,0
NoVerify,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.172281,83.059634,12.339716,1
StrongDeposit,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.248281,95.183063,0.216288,0
Deposit+PoW,100000,32,olh,1.0,4.0,0.25,1.0,0.2,10.147070,15,85.210281,89.667661,5.731690,0
NoVerify,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.172281,87.118462,8.280888,0
StrongDeposit,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.248281,74.663314,20.736037,1
Deposit+PoW,100000,32,olh,1.0,4.0,0.5,0.0,0.2,10.147070,17,85.210281,80.886525,14.512826,1
NoVerify,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.172281,85.089048,10.310302,1
StrongDeposit,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.248281,74.663314,20.736037,1
Deposit+PoW,100000,32,olh,1.0,4.0,0.5,0.5,0.2,10.147070,17,85.210281,78.096081,17.303270,1
NoVerify,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.172281,83.059634,12.339716,1
StrongDeposit,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.248281,74.663314,20.736037,1
Deposit+PoW,100000,32,olh,1.0,4.0,0.5,1.0,0.2,10.147070,17,85.210281,75.305637,20.093714,1
NoVerify,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.172281,87.118462,8.280888,0
StrongDeposit,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.248281,3.933345,91.466005,1
Deposit+PoW,100000,32,olh,1.0,4.0,1.0,0.0,0.2,10.147070,22,85.210281,31.449947,63.949404,1
NoVerify,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.172281,85.089048,10.310302,1
StrongDeposit,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.192281,81.916988,13.482363,1
