mechanism,n,domain,protocol,epsilon_h,epsilon_c,lambda,deposit_multiplier,deadline_sec,premium,k_bits,honest_payoff,fraud_payoff,deterrence,ic
AuditSlash,100000,32,olh,1.0,2.0,0.5,0.0,0.2,8.208441,15,85.172281,86.246080,7.214643,0
StrongDeposit,100000,32,olh,1.0,2.0,0.5,0.0,0.2,8.208441,15,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,0.5,0.0,0.2,8.208441,15,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,0.5,0.0,0.2,8.208441,15,85.248281,93.248748,0.211974,0
Deposit+PoW,100000,32,olh,1.0,2.0,0.5,0.0,0.2,8.208441,15,85.210281,93.312940,0.147782,0
NoVerify,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.252281,93.460722,0.000000,0
DirectAttest,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.152281,-1.000000,94.460722,1
RejectMismatch,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.132281,-2.000000,95.460722,1
TEEOnly,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.052281,86.604391,6.856331,0
AuditSlash,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.172281,84.604391,8.856331,1
StrongDeposit,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.248281,93.248748,0.211974,0
Deposit+PoW,100000,32,olh,1.0,2.0,0.5,0.5,0.2,8.208441,15,85.210281,91.055619,2.405103,0
NoVerify,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.252281,93.460722,0.000000,0
DirectAttest,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.152281,-1.000000,94.460722,1
RejectMismatch,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.132281,-2.000000,95.460722,1
TEEOnly,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.052281,86.604391,6.856331,0
AuditSlash,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.172281,82.962703,10.498019,1
StrongDeposit,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.248281,93.248748,0.211974,0
Deposit+PoW,100000,32,olh,1.0,2.0,0.5,1.0,0.2,8.208441,15,85.210281,88.798298,4.662425,0
NoVerify,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.252281,93.460722,0.000000,0
DirectAttest,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.152281,-1.000000,94.460722,1
RejectMismatch,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.132281,-2.000000,95.460722,1
TEEOnly,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.052281,86.604391,6.856331,0
AuditSlash,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.172281,86.246080,7.214643,0
StrongDeposit,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.248281,73.145741,20.314981,1
Deposit+PoW,100000,32,olh,1.0,2.0,1.0,0.0,0.2,8.208441,17,85.210281,79.242636,14.218087,1
NoVerify,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.252281,93.460722,0.000000,0
DirectAttest,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.152281,-1.000000,94.460722,1
RejectMismatch,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.132281,-2.000000,95.460722,1
TEEOnly,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.052281,86.604391,6.856331,0
AuditSlash,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.172281,84.604391,8.856331,1
StrongDeposit,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.248281,73.145741,20.314981,1
Deposit+PoW,100000,32,olh,1.0,2.0,1.0,0.5,0.2,8.208441,17,85.210281,76.985314,16.475408,1
NoVerify,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.252281,93.460722,0.000000,0
DirectAttest,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.152281,-1.000000,94.460722,1
RejectMismatch,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.132281,-2.000000,95.460722,1
TEEOnly,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.052281,86.604391,6.856331,0
