n,domain,protocol,epsilon_h,epsilon_c,lambda,k_bits,k_uncapped,k_capped,hash_rate,deadline_sec,deposit_multiplier,premium,added_pow_cost,deadline_penalty,slash,deterrence,ic
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,0.05,0.0,10.16104068,1.04038400,79.89339762,0.00000000,80.93378162,1
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,0.05,0.5,10.16104068,1.04038400,79.89339762,5.08052034,86.01430196,1
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,0.05,1.0,10.16104068,1.04038400,79.89339762,10.16104068,91.09482230,1
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,0.2,0.0,10.16104068,1.04038400,43.84642626,0.00000000,44.88681026,1
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,0.2,0.5,10.16104068,1.04038400,43.84642626,5.08052034,49.96733060,1
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,0.2,1.0,10.16104068,1.04038400,43.84642626,10.16104068,55.04785094,1
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,1.0,0.0,10.16104068,1.04038400,1.78727697,0.00000000,2.82766097,0
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,1.0,0.5,10.16104068,1.04038400,1.78727697,5.08052034,7.90818131,0
10000,2,brr,0.2,1.0,0.25,19,19,0,2097152,1.0,1.0,10.16104068,1.04038400,1.78727697,10.16104068,12.98870165,1
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,0.05,0.0,10.16104068,1.04038400,19.70146929,0.00000000,20.74185329,1
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,0.05,0.5,10.16104068,1.04038400,19.70146929,5.08052034,25.82237363,1
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,0.05,1.0,10.16104068,1.04038400,19.70146929,10.16104068,30.90289397,1
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,0.2,0.0,10.16104068,1.04038400,0.16213811,0.00000000,1.20252211,0
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,0.2,0.5,10.16104068,1.04038400,0.16213811,5.08052034,6.28304245,0
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,0.2,1.0,10.16104068,1.04038400,0.16213811,10.16104068,11.36356279,1
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,1.0,0.0,10.16104068,1.04038400,0.00000000,0.00000000,1.04038400,0
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,1.0,0.5,10.16104068,1.04038400,0.00000000,5.08052034,6.12090434,0
10000,2,brr,0.2,1.0,0.25,19,19,0,16777216,1.0,1.0,10.16104068,1.04038400,0.00000000,10.16104068,11.20142468,1
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,0.05,0.0,10.16104068,134.20953600,97.56295908,0.00000000,231.77249508,1
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,0.05,0.5,10.16104068,134.20953600,97.56295908,5.08052034,236.85301542,1
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,0.05,1.0,10.16104068,134.20953600,97.56295908,10.16104068,241.93353576,1
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,0.2,0.0,10.16104068,134.20953600,97.50581003,0.00000000,231.71534603,1
