seed,rho,segment_skew,epsilon_c,mechanism,buyer_utility,seller_revenue,seller_penalty,efficiency,accepted_fraud_rate,decision_regret
2026,0.0,1.5,1.0,RejectMismatch,18.3393,12.1000,0.0000,0.943870,0.000000,0.9102
2026,0.0,1.5,1.0,TEEOnly,18.5481,12.1000,0.0000,0.950343,0.000000,0.7014
2026,0.0,1.5,1.0,AuditSlash,17.6865,12.1000,0.0000,0.923627,0.000000,1.5630
2026,0.0,1.5,1.0,StrongDeposit,18.4723,12.1000,0.0000,0.947993,0.000000,0.7772
2026,0.0,1.5,1.0,ReputationOnly,18.3697,12.1000,0.0000,0.944811,0.000000,0.8798
2026,0.0,1.5,1.0,TEE-PoW,14.2040,12.1000,0.0000,0.815639,0.000000,5.0455
2026,0.0,1.5,1.0,Deposit+PoW,15.8121,12.1000,0.0000,0.865506,0.000000,3.4374
2026,0.0,1.5,2.0,NoVerify,18.7997,12.2000,0.0000,0.961246,0.000000,0.4498
2026,0.0,1.5,2.0,DirectAttest,18.7221,12.2000,0.0000,0.958839,0.000000,0.5274
2026,0.0,1.5,2.0,RejectMismatch,18.9385,12.2000,0.0000,0.965549,0.000000,0.3110
2026,0.0,1.5,2.0,TEEOnly,18.1743,12.2000,0.0000,0.941852,0.000000,1.0752
2026,0.0,1.5,2.0,AuditSlash,18.3139,12.2000,0.0000,0.946182,0.000000,0.9356
2026,0.0,1.5,2.0,StrongDeposit,18.0226,12.2000,0.0000,0.937148,0.000000,1.2269
2026,0.0,1.5,2.0,ReputationOnly,18.5585,12.2000,0.0000,0.953766,0.000000,0.6910
2026,0.0,1.5,2.0,TEE-PoW,14.4762,12.2000,0.0000,0.827181,0.000000,4.7733
2026,0.0,1.5,2.0,Deposit+PoW,16.6602,12.2000,0.0000,0.894905,0.000000,2.5893
2026,0.0,1.5,4.0,NoVerify,19.4011,12.4000,0.0000,0.986097,0.000000,0.0000
2026,0.0,1.5,4.0,DirectAttest,18.7714,12.4000,0.0000,0.966569,0.000000,0.4781
2026,0.0,1.5,4.0,RejectMismatch,18.2388,12.4000,0.0000,0.950055,0.000000,1.0107
2026,0.0,1.5,4.0,TEEOnly,18.3816,12.4000,0.0000,0.954483,0.000000,0.8679
2026,0.0,1.5,4.0,AuditSlash,18.1243,12.4000,0.0000,0.946503,0.000000,1.1252
2026,0.0,1.5,4.0,StrongDeposit,18.4921,12.4000,0.0000,0.957909,0.000000,0.7574
2026,0.0,1.5,4.0,ReputationOnly,18.8544,12.4000,0.0000,0.969145,0.000000,0.3951
2026,0.0,1.5,4.0,TEE-PoW,14.2423,12.4000,0.0000,0.826130,0.000000,5.0072
2026,0.0,1.5,4.0,Deposit+PoW,16.4479,12.4000,0.0000,0.894523,0.000000,2.8016
2026,0.0,1.5,8.0,NoVerify,18.9209,12.8000,0.0000,0.983608,0.000000,0.3286
2026,0.0,1.5,8.0,DirectAttest,18.4001,12.8000,0.0000,0.967461,0.000000,0.8494
2026,0.0,1.5,8.0,RejectMismatch,18.6286,12.8000,0.0000,0.974547,0.000000,0.6209
2026,0.0,1.5,8.0,TEEOnly,18.9619,12.8000,0.0000,0.984882,0.000000,0.2876
2026,0.0,1.5,8.0,AuditSlash,18.3879,12.8000,0.0000,0.967081,0.000000,0.8616
2026,0.0,1.5,8.0,StrongDeposit,18.2537,12.8000,0.0000,0.962922,0.000000,0.9958
2026,0.0,1.5,8.0,ReputationOnly,18.0755,12.8000,0.0000,0.957394,0.000000,1.1740
2026,0.0,1.5,8.0,TEE-PoW,14.4012,12.8000,0.0000,0.843461,0.000000,4.8483
